url,path,title
https://www.amazon.cn/%E4%BD%99%E7%BD%AA-%E6%88%91%E7%9A%84%E5%88%91%E4%BE%A6%E7%AC%94%E8%AE%B03-%E5%B8%B8%E4%B9%A6%E6%AC%A3/dp/B01DKFSVI4,小说/推理小说,余罪我的刑侦笔记3手太狠警王VS贼王巅峰对决带你窥探这个时代的黑暗角落领略触目惊心的真实景象全网口碑爆棚马伯庸小桥老树蔡骏周浩晖孔二狗倾情力荐余罪余罪2累计畅销超过30万册
https://www.amazon.cn/%E8%9A%95-%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%E4%BD%9C%E8%80%85J-K-%E7%BD%97%E7%90%B3%E5%88%9B%E4%BD%9C%E6%8E%A8%E7%90%86%E5%B0%8F%E8%AF%B4-%E7%BD%97%E4%BC%AF%E7%89%B9%C2%B7%E5%8A%A0%E5%B0%94%E5%B8%83%E9%9B%B7%E6%80%9D-J-K-%E7%BD%97%E7%90%B3/dp/B01CTLVE9S,小说/推理小说,蚕哈利波特作者JK罗琳创作推理小说
https://www.amazon.cn/kindle-store/dp/B013SMD0PI,小说/推理小说,虚无的十字架
https://www.amazon.cn/%E4%BD%99%E7%BD%AA-%E6%88%91%E7%9A%84%E5%88%91%E4%BE%A6%E7%AC%94%E8%AE%B02-%E5%B8%B8%E4%B9%A6%E6%AC%A3/dp/B019XTCEHU,小说/推理小说,余罪我的刑侦笔记2全网口碑爆棚2016年年度火爆小说媒体争相报道余罪上市一个月热卖20万册带你窥探这个时代的黑暗角落领略触目惊心的真实景象马伯庸小桥老树倾情力荐
https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/dp/B00YXFDT1K,小说/推理小说,说故事的人
https://www.amazon.cn/%E4%BD%99%E7%BD%AA-%E6%88%91%E7%9A%84%E5%88%91%E4%BE%A6%E7%AC%94%E8%AE%B0-%E5%B8%B8%E4%B9%A6%E6%AC%A3/dp/B017DBJIAG,小说/推理小说,余罪我的刑侦笔记现象级畅销书粉丝熬夜追读水太深一个传奇警察和毒贩悍匪黑道大佬的交锋实录带你窥探这个时代的黑暗角落领略触目惊心的真实景象著名作家马伯庸小桥老树狂热推荐
https://www.amazon.cn/%E7%A6%8F%E5%B0%94%E6%91%A9%E6%96%AF%E6%8E%A2%E6%A1%88%E5%85%A8%E9%9B%86-%E6%9F%AF%E5%8D%97%E9%81%93%E5%B0%94/dp/B00NORFMIG,小说/推理小说,福尔摩斯探案全集套装共11册
https://www.amazon.cn/%E7%A6%8F%E5%B0%94%E6%91%A9%E6%96%AF%E6%8E%A2%E6%A1%88%E9%9B%86-%E6%9F%AF%E5%8D%97%C2%B7%E9%81%93%E5%B0%94%E8%91%97/dp/B00T5EI1HG,小说/推理小说,福尔摩斯探案集套装共4册
https://www.amazon.cn/%E7%A7%98%E5%AF%86-%E6%97%A5-%E4%B8%9C%E9%87%8E%E5%9C%AD%E5%90%BE/dp/B00QM20GC2,小说/推理小说,秘密日本超畅销悬疑小说广末凉子倾情演绎同名电影推理小说史上罕见三冠王东野圭吾通往巅峰之作
https://www.amazon.cn/%E5%AB%8C%E7%96%91%E4%BA%BAX%E7%9A%84%E7%8C%AE%E8%BA%AB-%E4%B8%9C%E9%87%8E%E5%9C%AD%E5%90%BE/dp/B00A4QLGJY,小说/推理小说,嫌疑人X的献身
https://www.amazon.cn/%E7%99%BD%E5%A4%9C%E8%A1%8C-%E4%B8%9C%E9%87%8E%E5%9C%AD%E5%90%BE/dp/B00BXX5DDM,小说/推理小说,白夜行
https://www.amazon.cn/%E8%9D%B4%E8%9D%B6%E6%A2%A6-%E8%BE%BE%E8%8A%99%E5%A6%AE%E2%80%A2%E6%9D%9C%E7%A9%86%E9%87%8C%E5%9F%83-%E6%96%B9%E5%8D%8E%E6%96%87/dp/B01AL0NKKA,小说/推理小说,蝴蝶梦全球公认20世纪伟大爱情经典大陆独家合法授权20世纪百部推理经典BBC百部英国人挚爱文学1938年美国国家图书奖希区柯克电影原著我错了我曾以为付出自己就是爱你读客全球顶级畅销小说文库229
https://www.amazon.cn/%E9%9C%8D%E6%AF%94%E7%89%B9%E4%BA%BA%EF%BC%8B%E9%AD%94%E6%88%92%E4%B8%89%E9%83%A8%E6%9B%B2-%E8%8B%B1-J-R-R-%E6%89%98%E5%B0%94%E9%87%91/dp/B00NZPNOF0,小说/玄幻小说,霍比特人魔戒三部曲
https://www.amazon.cn/%E5%B9%BB%E5%9F%8E-%E9%83%AD%E6%95%AC%E6%98%8E/dp/B0018J9BUW,小说/玄幻小说,幻城
https://www.amazon.cn/%E9%9C%8D%E6%AF%94%E7%89%B9%E4%BA%BA-J-R-R%C2%B7%E6%89%98%E5%B0%94%E9%87%91/dp/B00IJ7HXW4,小说/玄幻小说,霍比特人试读版
https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/dp/B015DNRG64,小说/玄幻小说,生命不息归来
https://www.amazon.cn/%E5%9C%B0%E6%B5%B7%E4%BC%A0%E5%A5%87%E5%85%AD%E9%83%A8%E6%9B%B2-%E5%8E%84%E4%BC%91%E6%8B%89%C2%B7%E5%8B%92%E5%8F%A4%E6%81%A9/dp/B016KJ282M,小说/玄幻小说,地海传奇六部曲套装共6册读客全球顶级畅销小说文库
https://www.amazon.cn/%E6%82%89%E8%BE%BE%E5%A4%9A-%E8%B5%AB%E5%B0%94%E6%9B%BC%C2%B7%E9%BB%91%E5%A1%9E/dp/B00KGWLFUQ,小说/玄幻小说,悉达多黑塞作品集
https://www.amazon.cn/%E5%A6%BB%E5%A6%BE%E6%88%90%E7%BE%A4-%E8%8B%8F%E7%AB%A5/dp/B00LEFJMRC,小说/玄幻小说,妻妾成群中篇小说金库
https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/dp/B01AFVID34,文学/文学评论与鉴赏/戏剧,走近汤显祖精汤显祖研究丛刊
https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/dp/B00YEFHMN0,小说/玄幻小说,冰与火之歌系列全集权力的游戏列王的纷争冰雨的风暴群鸦的盛宴魔龙的狂舞套装共15册
https://www.amazon.cn/%E7%88%B1%E7%9A%84%E7%96%AF%E7%8B%82%E4%B8%8E%E8%83%9C%E5%88%A9-%E8%8E%8E%E5%A3%AB%E6%AF%94%E4%BA%9A%E5%AF%BC%E8%AF%BB-%E7%BD%97%E4%BC%8A%E5%B0%94/dp/B017U6TSVI,文学/文学评论与鉴赏/戏剧,爱的疯狂与胜利莎士比亚导读
https://www.amazon.cn/%E9%AD%94%E6%88%92-J-R-R%C2%B7%E6%89%98%E5%B0%94%E9%87%91/dp/B00IJ7HXWO,小说/玄幻小说,魔戒试读版
https://www.amazon.cn/%E9%A5%A5%E9%A5%BF%E6%B8%B8%E6%88%8F-%E8%8B%8F%E7%8F%8A%C2%B7%E6%9F%AF%E6%9E%97%E6%96%AF/dp/B00967XSIE,小说/玄幻小说,饥饿游戏套装共3册
https://www.amazon.cn/%E4%BC%91%E8%B0%9F%E8%AE%BA%E8%AF%B4%E6%96%87%E9%9B%86%E5%8D%B72-%E8%AE%BA%E9%81%93%E5%BE%B7%E4%B8%8E%E6%96%87%E5%AD%A6-%E5%A4%A7%E5%8D%AB%E2%80%A2%E4%BC%91%E8%B0%9F/dp/B0067HGN3I,文学/文学理论/文学的基础理论,休谟论说文集卷2论道德与文学
https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/dp/B00W8QZJ5K,文学/文学评论与鉴赏/诗歌词曲,小词大雅叶嘉莹说词的修养与境界
https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/dp/B009DCXK44,文学/文学评论与鉴赏/诗歌词曲,人间词话插图本增订版
https://www.amazon.cn/%E5%A9%89%E7%BA%A6%E8%AF%8D-%E6%9D%8E%E6%B8%85%E7%85%A7/dp/B00AFRZQEI,文学/文学评论与鉴赏/诗歌词曲,婉约词
https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/dp/B0196CUIHW,文学/文学评论与鉴赏/诗歌词曲,鲁迅诗文精选集野草
https://www.amazon.cn/%E9%AD%94%E6%88%92%E4%B8%89%E9%83%A8%E6%9B%B2-%E8%8B%B1-J-R-R-%E6%89%98%E5%B0%94%E9%87%91-%E9%82%93%E5%98%89%E5%AE%9B-%E7%9F%B3%E4%B8%AD%E6%AD%8C-%E6%9D%9C%E8%95%B4%E6%85%88-%E8%AF%91/dp/B00NZKTYM2,小说/玄幻小说,魔戒三部曲
